MCTS vs. MCTS
Game 1 score: {1: 45, -1: 41}
Game 2 score: {1: 41, -1: 37}
Game 3 score: {1: 41, -1: 37}
Game 4 score: {1: 41, -1: 39}
Game 5 score: {1: 46, -1: 41}
Game 6 score: {1: 36, -1: 32}
Game 7 score: {1: 42, -1: 38}
Game 8 score: {1: 42, -1: 41}
Game 9 score: {1: 41, -1: 37}
Game 10 score: {1: 38, -1: 31}
Game 11 score: {1: 39, -1: 33}
Game 12 score: {1: 35, -1: 32}
Game 13 score: {1: 37, -1: 34}
Game 14 score: {1: 44, -1: 38}
Game 15 score: {1: 45, -1: 40}
Game 16 score: {1: 35, -1: 30}
Game 17 score: {1: 46, -1: 42}
Game 18 score: {1: 32, -1: 32}
Game 19 score: {1: 32, -1: 28}
Game 20 score: {1: 37, -1: 37}
Game 21 score: {1: 40, -1: 34}
Game 22 score: {1: 42, -1: 38}
Game 23 score: {1: 36, -1: 32}
Game 24 score: {1: 42, -1: 38}
Game 25 score: {1: 36, -1: 34}
Game 26 score: {1: 46, -1: 46}
Game 27 score: {1: 46, -1: 41}
Game 28 score: {1: 39, -1: 37}
Game 29 score: {1: 34, -1: 27}
Game 30 score: {1: 38, -1: 34}
Game 31 score: {1: 42, -1: 43}
Game 32 score: {1: 44, -1: 38}
Game 33 score: {1: 39, -1: 37}
Game 34 score: {1: 27, -1: 22}
Game 35 score: {1: 48, -1: 44}
Game 36 score: {1: 45, -1: 41}
Game 37 score: {1: 37, -1: 36}
Game 38 score: {1: 37, -1: 29}
Game 39 score: {1: 36, -1: 38}
Game 40 score: {1: 39, -1: 34}
Game 41 score: {1: 42, -1: 43}
Game 42 score: {1: 45, -1: 41}
Game 43 score: {1: 36, -1: 34}
Game 44 score: {1: 37, -1: 34}
Game 45 score: {1: 41, -1: 38}
Game 46 score: {1: 36, -1: 27}
Game 47 score: {1: 34, -1: 30}
Game 48 score: {1: 35, -1: 38}
Game 49 score: {1: 38, -1: 39}
Game 50 score: {1: 31, -1: 26}
Game 51 score: {1: 34, -1: 36}
Game 52 score: {1: 36, -1: 32}
Game 53 score: {1: 36, -1: 33}
Game 54 score: {1: 39, -1: 33}
Game 55 score: {1: 43, -1: 37}
Game 56 score: {1: 28, -1: 23}
Game 57 score: {1: 36, -1: 30}
Game 58 score: {1: 32, -1: 37}
Game 59 score: {1: 42, -1: 38}
Game 60 score: {1: 41, -1: 41}
Game 61 score: {1: 38, -1: 35}
Game 62 score: {1: 36, -1: 30}
Game 63 score: {1: 35, -1: 30}
Game 64 score: {1: 34, -1: 28}
Game 65 score: {1: 41, -1: 37}
Game 66 score: {1: 41, -1: 37}
Game 67 score: {1: 45, -1: 41}
Game 68 score: {1: 42, -1: 42}
Game 69 score: {1: 38, -1: 32}
Game 70 score: {1: 38, -1: 33}
Game 71 score: {1: 33, -1: 37}
Game 72 score: {1: 42, -1: 36}
Game 73 score: {1: 32, -1: 28}
Game 74 score: {1: 32, -1: 25}
Game 75 score: {1: 36, -1: 32}
Game 76 score: {1: 42, -1: 33}
Game 77 score: {1: 41, -1: 41}
Game 78 score: {1: 36, -1: 35}
Game 79 score: {1: 42, -1: 41}
Game 80 score: {1: 43, -1: 38}
Game 81 score: {1: 43, -1: 38}
Game 82 score: {1: 46, -1: 44}
Game 83 score: {1: 44, -1: 37}
Game 84 score: {1: 39, -1: 34}
Game 85 score: {1: 26, -1: 16}
Game 86 score: {1: 38, -1: 37}
Game 87 score: {1: 39, -1: 33}
Game 88 score: {1: 33, -1: 34}
Game 89 score: {1: 42, -1: 36}
Game 90 score: {1: 41, -1: 37}
Game 91 score: {1: 41, -1: 33}
Game 92 score: {1: 43, -1: 39}
Game 93 score: {1: 46, -1: 43}
Game 94 score: {1: 33, -1: 35}
Game 95 score: {1: 42, -1: 40}
Game 96 score: {1: 50, -1: 46}
Game 97 score: {1: 37, -1: 32}
Game 98 score: {1: 41, -1: 39}
Game 99 score: {1: 36, -1: 29}
Game 100 score: {1: 41, -1: 36}
Final win score: 87.0 13.0
Average win margin: 
Player 1: 4.344827586206897
Player 2: 1.6923076923076923
Average score: 38.98 35.42
