Random vs. Greedy, corner and size
Game 1 score: {1: 32, -1: 53}
Game 2 score: {1: 51, -1: 46}
Game 3 score: {1: 28, -1: 56}
Game 4 score: {1: 41, -1: 55}
Game 5 score: {1: 51, -1: 33}
Game 6 score: {1: 50, -1: 44}
Game 7 score: {1: 36, -1: 49}
Game 8 score: {1: 39, -1: 47}
Game 9 score: {1: 41, -1: 52}
Game 10 score: {1: 41, -1: 51}
Game 11 score: {1: 41, -1: 48}
Game 12 score: {1: 43, -1: 47}
Game 13 score: {1: 41, -1: 54}
Game 14 score: {1: 41, -1: 46}
Game 15 score: {1: 47, -1: 53}
Game 16 score: {1: 37, -1: 45}
Game 17 score: {1: 41, -1: 46}
Game 18 score: {1: 47, -1: 48}
Game 19 score: {1: 41, -1: 51}
Game 20 score: {1: 40, -1: 52}
Game 21 score: {1: 38, -1: 48}
Game 22 score: {1: 43, -1: 43}
Game 23 score: {1: 42, -1: 38}
Game 24 score: {1: 46, -1: 46}
Game 25 score: {1: 47, -1: 48}
Game 26 score: {1: 31, -1: 56}
Game 27 score: {1: 41, -1: 48}
Game 28 score: {1: 37, -1: 42}
Game 29 score: {1: 51, -1: 39}
Game 30 score: {1: 47, -1: 45}
Game 31 score: {1: 33, -1: 48}
Game 32 score: {1: 41, -1: 49}
Game 33 score: {1: 41, -1: 43}
Game 34 score: {1: 41, -1: 44}
Game 35 score: {1: 39, -1: 51}
Game 36 score: {1: 30, -1: 55}
Game 37 score: {1: 43, -1: 46}
Game 38 score: {1: 41, -1: 52}
Game 39 score: {1: 34, -1: 39}
Game 40 score: {1: 38, -1: 47}
Game 41 score: {1: 38, -1: 56}
Game 42 score: {1: 38, -1: 46}
Game 43 score: {1: 43, -1: 41}
Game 44 score: {1: 42, -1: 47}
Game 45 score: {1: 42, -1: 47}
Game 46 score: {1: 46, -1: 43}
Game 47 score: {1: 41, -1: 43}
Game 48 score: {1: 34, -1: 52}
Game 49 score: {1: 42, -1: 51}
Game 50 score: {1: 41, -1: 51}
Game 51 score: {1: 34, -1: 47}
Game 52 score: {1: 37, -1: 53}
Game 53 score: {1: 41, -1: 46}
Game 54 score: {1: 50, -1: 53}
Game 55 score: {1: 37, -1: 56}
Game 56 score: {1: 41, -1: 45}
Game 57 score: {1: 44, -1: 46}
Game 58 score: {1: 42, -1: 45}
Game 59 score: {1: 44, -1: 38}
Game 60 score: {1: 37, -1: 51}
Game 61 score: {1: 46, -1: 43}
Game 62 score: {1: 50, -1: 47}
Game 63 score: {1: 39, -1: 50}
Game 64 score: {1: 33, -1: 48}
Game 65 score: {1: 41, -1: 47}
Game 66 score: {1: 45, -1: 49}
Game 67 score: {1: 41, -1: 43}
Game 68 score: {1: 44, -1: 56}
Game 69 score: {1: 42, -1: 40}
Game 70 score: {1: 38, -1: 49}
Game 71 score: {1: 51, -1: 51}
Game 72 score: {1: 47, -1: 56}
Game 73 score: {1: 32, -1: 48}
Game 74 score: {1: 51, -1: 38}
Game 75 score: {1: 34, -1: 56}
Game 76 score: {1: 46, -1: 38}
Game 77 score: {1: 46, -1: 38}
Game 78 score: {1: 35, -1: 51}
Game 79 score: {1: 50, -1: 40}
Game 80 score: {1: 41, -1: 60}
Game 81 score: {1: 40, -1: 47}
Game 82 score: {1: 32, -1: 48}
Game 83 score: {1: 37, -1: 44}
Game 84 score: {1: 37, -1: 56}
Game 85 score: {1: 36, -1: 49}
Game 86 score: {1: 50, -1: 40}
Game 87 score: {1: 33, -1: 56}
Game 88 score: {1: 34, -1: 45}
Game 89 score: {1: 45, -1: 49}
Game 90 score: {1: 38, -1: 51}
Game 91 score: {1: 34, -1: 51}
Game 92 score: {1: 33, -1: 52}
Game 93 score: {1: 38, -1: 51}
Game 94 score: {1: 34, -1: 46}
Game 95 score: {1: 40, -1: 56}
Game 96 score: {1: 43, -1: 49}
Game 97 score: {1: 42, -1: 44}
Game 98 score: {1: 42, -1: 43}
Game 99 score: {1: 43, -1: 45}
Game 100 score: {1: 33, -1: 43}
Final win score: 18.5 81.5
Average win margin: 
Player 1: 6.216216216216216
Player 2: 10.122699386503067
Average score: 40.63 47.73
