Greedy vs. Random, corner and size
Game 1 score: {1: 57, -1: 31}
Game 2 score: {1: 60, -1: 31}
Game 3 score: {1: 56, -1: 33}
Game 4 score: {1: 53, -1: 42}
Game 5 score: {1: 52, -1: 20}
Game 6 score: {1: 60, -1: 26}
Game 7 score: {1: 60, -1: 28}
Game 8 score: {1: 52, -1: 38}
Game 9 score: {1: 56, -1: 29}
Game 10 score: {1: 60, -1: 33}
Game 11 score: {1: 54, -1: 29}
Game 12 score: {1: 53, -1: 23}
Game 13 score: {1: 56, -1: 24}
Game 14 score: {1: 56, -1: 22}
Game 15 score: {1: 53, -1: 23}
Game 16 score: {1: 60, -1: 29}
Game 17 score: {1: 54, -1: 32}
Game 18 score: {1: 56, -1: 23}
Game 19 score: {1: 50, -1: 33}
Game 20 score: {1: 56, -1: 28}
Game 21 score: {1: 56, -1: 22}
Game 22 score: {1: 56, -1: 30}
Game 23 score: {1: 53, -1: 28}
Game 24 score: {1: 60, -1: 18}
Game 25 score: {1: 56, -1: 28}
Game 26 score: {1: 60, -1: 29}
Game 27 score: {1: 60, -1: 41}
Game 28 score: {1: 60, -1: 18}
Game 29 score: {1: 60, -1: 36}
Game 30 score: {1: 56, -1: 20}
Game 31 score: {1: 56, -1: 21}
Game 32 score: {1: 60, -1: 33}
Game 33 score: {1: 45, -1: 36}
Game 34 score: {1: 56, -1: 19}
Game 35 score: {1: 51, -1: 34}
Game 36 score: {1: 56, -1: 32}
Game 37 score: {1: 53, -1: 31}
Game 38 score: {1: 56, -1: 23}
Game 39 score: {1: 56, -1: 19}
Game 40 score: {1: 56, -1: 36}
Game 41 score: {1: 55, -1: 33}
Game 42 score: {1: 52, -1: 25}
Game 43 score: {1: 56, -1: 30}
Game 44 score: {1: 53, -1: 37}
Game 45 score: {1: 56, -1: 29}
Game 46 score: {1: 60, -1: 29}
Game 47 score: {1: 48, -1: 35}
Game 48 score: {1: 56, -1: 30}
Game 49 score: {1: 53, -1: 37}
Game 50 score: {1: 53, -1: 31}
Game 51 score: {1: 53, -1: 33}
Game 52 score: {1: 56, -1: 28}
Game 53 score: {1: 56, -1: 26}
Game 54 score: {1: 51, -1: 30}
Game 55 score: {1: 56, -1: 32}
Game 56 score: {1: 56, -1: 20}
Game 57 score: {1: 56, -1: 37}
Game 58 score: {1: 51, -1: 23}
Game 59 score: {1: 57, -1: 24}
Game 60 score: {1: 60, -1: 25}
Game 61 score: {1: 56, -1: 26}
Game 62 score: {1: 56, -1: 18}
Game 63 score: {1: 56, -1: 29}
Game 64 score: {1: 57, -1: 41}
Game 65 score: {1: 56, -1: 28}
Game 66 score: {1: 58, -1: 29}
Game 67 score: {1: 57, -1: 30}
Game 68 score: {1: 56, -1: 25}
Game 69 score: {1: 60, -1: 15}
Game 70 score: {1: 56, -1: 24}
Game 71 score: {1: 51, -1: 37}
Game 72 score: {1: 56, -1: 34}
Game 73 score: {1: 56, -1: 20}
Game 74 score: {1: 51, -1: 32}
Game 75 score: {1: 53, -1: 30}
Game 76 score: {1: 52, -1: 32}
Game 77 score: {1: 60, -1: 31}
Game 78 score: {1: 53, -1: 29}
Game 79 score: {1: 52, -1: 33}
Game 80 score: {1: 56, -1: 29}
Game 81 score: {1: 56, -1: 33}
Game 82 score: {1: 60, -1: 28}
Game 83 score: {1: 56, -1: 28}
Game 84 score: {1: 56, -1: 22}
Game 85 score: {1: 57, -1: 26}
Game 86 score: {1: 56, -1: 29}
Game 87 score: {1: 53, -1: 31}
Game 88 score: {1: 60, -1: 21}
Game 89 score: {1: 49, -1: 31}
Game 90 score: {1: 52, -1: 39}
Game 91 score: {1: 60, -1: 25}
Game 92 score: {1: 55, -1: 23}
Game 93 score: {1: 56, -1: 29}
Game 94 score: {1: 60, -1: 32}
Game 95 score: {1: 60, -1: 30}
Game 96 score: {1: 60, -1: 20}
Game 97 score: {1: 60, -1: 41}
Game 98 score: {1: 53, -1: 23}
Game 99 score: {1: 51, -1: 28}
Game 100 score: {1: 60, -1: 34}
Final win score: 100 0
Average win margin: 
Player 1: 26.98
Average score: 55.68 28.7
